hindi,phon
अंक,a ~ k
अंक-गणित,a ~ k g a n i t
अंकित,a ~ k i t
अंकुर,a ~ k u r
अंकुरित,a ~ k u r i t
अंकुश,a ~ k u sh
अंग,a ng g
अँगड़ाई,a ~ g rr E
अँगरेज़,
अँगरेज़ी,
अँगहीन,a ng g h ii n
अंगार,a ng g aa r
अंगारा,a ~ g aa r aa
अँगिया,a ~ g i y aa
अंगीकार,a ng g ii k aa r
अँगीठी,a ~ g ii tth ii
अंगुल,a ng g u l
अंगुली,a ng g u l ii
अँगूठा,a ~ g uu tth aa
अँगूठी,a ~ g uu tth ii
अंगूर,a ng g uu r
अँगोछा,a ~ g o ch aa
अंग्रेज,a ~ g r e z
अँग्रेजी,a ~ g r e z ii
अंचल,a n c a l
अंजन,a n j a n
अंजर-पंजर,a n j a r p a n j a r
अंजलि,a n j a l i
अंजीर,a n j ii r
अँटना,a ~ tt n aa
अंट-संट,a n tt s a n tt
अंड-बंड,a n dd b a n dd
अंडा,a n dd aa
अंडी,a n dd ii
अंत,a n t
अँतड़ी,a ~ t rr ii
अंतर,a n t a r
अंतरिक्ष,a n t a r i k sh a
अंतर्गत,a n t a r g a t
अंतर्जातीय,a n t a r j aa t ii y
अंतर्देशीय,a n t a r d e sh ii y
अंतर्धान,a n t a r dh aa n
अंतर्राष्ट्रीय,a n t a r r aa sh tt r ii y
अंतर्वासी,a n t a r v aa s ii
अंतिम,a n t i m
अंदर,a n d a r
अंदाज,a n d aa z
अंदाजा,a n d aa z aa
अंधकार,a n dh k aa r
अंधड़,a n dh a rr
अंधविश्वास,a n dh v i sh v aa s
अंधा,a n dh aa
अंधाधुंध,a n dh aa dh u n dh
अंधापन,a n dh aa p a n
अंधेर,a n dh e r
अँधेरा,a ~ dh e r aa
अंश,a n sh
अंशकालिक,a n sh k aa l i k
अ,
अए,a e
अकड़,a k a rr
अकड़न,a k rr a n
अकड़ना,a k a rr n aa
अकस्मात्,a k a s m aa t
अकाज,a k aa j
अकादमी,a k aa d m ii
अकारण,a k aa r a n
अकाल,a k aa l
अकेला,a k e l aa
अकेलापन,a k e l aa p a n
अकेले,a k e l e
अक्खड़,a k kh a rr
अक्तूबर,a k t uu b a r
अक्ल,a q l
अक्लमंद,a q l m a n d
अक्लमंदी,a q l m a n d ii
अक्षर,a k sh a r
अक्सर,a k s a r
अखंड,a kh a n dd
अखंडता,a kh a n dd t aa
अखबार,a x b aa r
अखरना,a kh a r n aa
अखाड़ा,a kh aa rr aa
अखिल-भारतीय,a kh i l bh aa r t ii y
अख़्‍तियार,
अगर,a g a r
अगर-बत्ती,a g a r b a t t ii
अगल-बगल,a g a l b a g a l
अगला,a g l aa
अगला-पिछला,a g l aa p i ch l aa
अगवानी,a g v aa n ii
अगस्त,a g a s t
अगाऊ,a g O
अगाध,a g aa dh
अगुआ,a g u aa
अग्नि,a g n i
अग्र,a g r a
अग्रिम,a g r i m
अचंभा,a c a m bh aa
अचकन,a c k a n
अचरज,a c r a j
अचल,a c a l
अचानक,a c aa n a k
अचार,a c aa r
अचूक,a c uu k
अचेत,a c e t
अच्छा,a c ch aa
अच्छाई,a c ch E
अछूत,a ch uu t
अछूता,a ch uu t aa
अजंडा,a j a n dd aa
अजगर,a j g a r
अजनबी,a j n a b ii
अजब,a j a b
अजायब-घर,a j aa y a b gh a r
अजान,a j aa n
अजिल्द,a j i l d
अजी,a j ii
अजीब,a j ii b
अटकना,a tt a k n aa
अटकल,a tt k a l
अटकल-पच्चू,a tt k aa l p a c c uu
अटकाना,a tt k aa n aa
अटपटा,a tt p a tt aa
अटल,a tt a l
अटारी,a tt aa r ii
अटूट,a tt uu tt
अट्ठा,a tt tth aa
अट्ठाईस,a tt tth E s
अट्ठानवे,a tt tth aa n v e
अट्ठावन,
अट्ठासी,
अट्ठी,a tt tth ii
अठ,a th 
अठन्नी,a tth a n n ii
अठारह,a tth h a t t a r
अठहत्तर,a tth aa r a h
अठावन,a tth aa v a n
अठासी,a tth aa s ii
अड़ंगा,a rr a ng g aa
अड़चन,a rr c a n
अड़तालीस,a rr t aa l ii s
अड़तीस,a r t ii s
अड़ना,a rr n aa
अड़सठ,a rr s a tth
अडिग,a dd i g
अड़ियल,a rr i y a l
अड्डा,a dd dd aa
